dateTime,open,low,high,close
17.08.2010,1.2819,1.2802,1.2913,1.2877
18.08.2010,1.2878,1.2822,1.2919,1.2852
19.08.2010,1.2851,1.2771,1.29,1.2814
20.08.2010,1.2814,1.2662,1.283,1.2706
23.08.2010,1.2703,1.2644,1.2727,1.2646
24.08.2010,1.2647,1.2586,1.2715,1.2629
25.08.2010,1.2629,1.2607,1.2723,1.2661
26.08.2010,1.2661,1.2648,1.2762,1.2714
27.08.2010,1.2714,1.2675,1.2775,1.2731
30.08.2010,1.2763,1.2657,1.2764,1.2662
31.08.2010,1.2661,1.2624,1.274,1.2687
01.09.2010,1.2688,1.2661,1.2852,1.2802
02.09.2010,1.2801,1.2774,1.2846,1.2824
03.09.2010,1.2823,1.2807,1.2895,1.2892
06.09.2010,1.2891,1.2865,1.2916,1.2873
07.09.2010,1.2873,1.2676,1.2874,1.2681
08.09.2010,1.2681,1.2658,1.276,1.2722
09.09.2010,1.2721,1.2663,1.2763,1.2695
10.09.2010,1.2696,1.2643,1.2744,1.2709
13.09.2010,1.2706,1.2703,1.289,1.2876
14.09.2010,1.2875,1.2828,1.303,1.2986
15.09.2010,1.2985,1.2954,1.3034,1.3009
16.09.2010,1.3009,1.2974,1.3113,1.3073
17.09.2010,1.3072,1.3018,1.3155,1.3035
20.09.2010,1.3049,1.3027,1.3118,1.306
21.09.2010,1.306,1.3055,1.3283,1.3247
22.09.2010,1.3247,1.3246,1.3437,1.3397
23.09.2010,1.3397,1.3303,1.3411,1.3312
24.09.2010,1.3312,1.3285,1.3491,1.3489
27.09.2010,1.3483,1.3424,1.3503,1.3439
28.09.2010,1.3439,1.3379,1.3592,1.3583
29.09.2010,1.3582,1.3564,1.3644,1.362
30.09.2010,1.362,1.3558,1.368,1.3625
01.10.2010,1.3625,1.3617,1.3781,1.3777
04.10.2010,1.3786,1.3665,1.3787,1.3672
05.10.2010,1.3672,1.3636,1.3856,1.3833
06.10.2010,1.3833,1.3797,1.3944,1.3923
07.10.2010,1.3923,1.3856,1.4026,1.3918
08.10.2010,1.3918,1.3833,1.3981,1.3927
11.10.2010,1.4001,1.3864,1.4004,1.3879
12.10.2010,1.3879,1.3773,1.3931,1.3913
13.10.2010,1.3913,1.391,1.3999,1.3958
14.10.2010,1.3958,1.3953,1.4119,1.408
15.10.2010,1.4079,1.3935,1.4155,1.3972
18.10.2010,1.3971,1.3829,1.3995,1.3947
19.10.2010,1.3946,1.3712,1.4001,1.374
20.10.2010,1.374,1.3696,1.3988,1.3955
21.10.2010,1.3955,1.387,1.4047,1.3923
22.10.2010,1.3923,1.3856,1.3969,1.3926
25.10.2010,1.3949,1.3932,1.4077,1.3952
26.10.2010,1.3952,1.3823,1.3979,1.3855
27.10.2010,1.3856,1.3733,1.3875,1.3772
28.10.2010,1.3772,1.3765,1.3943,1.3928
29.10.2010,1.3927,1.3806,1.3949,1.3915
01.11.2010,1.3969,1.3862,1.4009,1.3894
02.11.2010,1.3895,1.388,1.4055,1.4029
03.11.2010,1.403,1.399,1.416,1.4123
04.11.2010,1.4123,1.41,1.4279,1.4211
05.11.2010,1.4212,1.4022,1.4245,1.403
08.11.2010,1.4053,1.3886,1.4082,1.3911
09.11.2010,1.3911,1.3747,1.3971,1.3762
10.11.2010,1.3762,1.367,1.3823,1.3777
11.11.2010,1.3777,1.3635,1.3818,1.3658
12.11.2010,1.3658,1.3572,1.3773,1.369
15.11.2010,1.3681,1.3562,1.3748,1.3576
16.11.2010,1.3576,1.3445,1.3652,1.3482
17.11.2010,1.3482,1.3458,1.3563,1.3527
18.11.2010,1.3527,1.3527,1.3665,1.3642
19.11.2010,1.3642,1.3606,1.3729,1.3683
22.11.2010,1.3735,1.3575,1.3783,1.3622
23.11.2010,1.3622,1.336,1.3626,1.3377
24.11.2010,1.3377,1.3283,1.3418,1.3334
25.11.2010,1.3334,1.3285,1.3384,1.3348
26.11.2010,1.3349,1.3199,1.3355,1.3245
29.11.2010,1.3277,1.3062,1.3299,1.3107
30.11.2010,1.3108,1.2967,1.3147,1.298
01.12.2010,1.298,1.2969,1.3179,1.3125
02.12.2010,1.3125,1.3059,1.3244,1.3213
03.12.2010,1.3213,1.3191,1.3415,1.341
06.12.2010,1.3406,1.3245,1.342,1.3306
07.12.2010,1.3306,1.3252,1.3398,1.3263
08.12.2010,1.3264,1.3178,1.3278,1.3262
09.12.2010,1.3263,1.3163,1.332,1.3234
10.12.2010,1.3234,1.3177,1.328,1.3226
13.12.2010,1.3201,1.318,1.343,1.3385
14.12.2010,1.3385,1.3362,1.3496,1.3377
15.12.2010,1.3377,1.3207,1.3378,1.3219
16.12.2010,1.3219,1.318,1.3262,1.3237
17.12.2010,1.3238,1.3131,1.3356,1.3183
20.12.2010,1.3168,1.3093,1.318,1.3118
21.12.2010,1.3118,1.3072,1.3199,1.3098
22.12.2010,1.3098,1.3076,1.3178,1.3101
23.12.2010,1.3101,1.3054,1.3149,1.3108
24.12.2010,1.3109,1.3092,1.3145,1.3114
27.12.2010,1.3112,1.307,1.3167,1.3161
28.12.2010,1.316,1.3092,1.3272,1.3106
29.12.2010,1.3106,1.3082,1.3235,1.3216
30.12.2010,1.3215,1.3215,1.3312,1.3288
31.12.2010,1.3288,1.3285,1.3422,1.3369
03.01.2011,1.3344,1.3249,1.3392,1.3347
04.01.2011,1.3348,1.329,1.343,1.3309
05.01.2011,1.3309,1.3124,1.3322,1.3147
06.01.2011,1.3147,1.2982,1.3168,1.3001
07.01.2011,1.3,1.2904,1.3018,1.2908
10.01.2011,1.2891,1.2872,1.2962,1.2945
11.01.2011,1.2945,1.2903,1.299,1.2968
12.01.2011,1.2969,1.296,1.3142,1.3129
13.01.2011,1.3128,1.3087,1.3381,1.3346
14.01.2011,1.3346,1.3313,1.3453,1.3375
17.01.2011,1.337,1.3244,1.338,1.3274
18.01.2011,1.3275,1.3252,1.3462,1.3383
19.01.2011,1.3383,1.3366,1.3536,1.3455
20.01.2011,1.3455,1.3394,1.352,1.3464
21.01.2011,1.3463,1.3447,1.3622,1.3612
24.01.2011,1.3605,1.3539,1.3683,1.3638
25.01.2011,1.3638,1.3572,1.3701,1.3679
26.01.2011,1.368,1.3639,1.3719,1.3697
27.01.2011,1.3696,1.3636,1.3755,1.3726
28.01.2011,1.3726,1.3582,1.3743,1.3606
31.01.2011,1.3575,1.3569,1.3736,1.3689
01.02.2011,1.369,1.3688,1.384,1.3822
02.02.2011,1.3822,1.3766,1.3859,1.3803
03.02.2011,1.3803,1.3607,1.3823,1.3623
04.02.2011,1.3623,1.3542,1.367,1.3585
07.02.2011,1.3565,1.3506,1.3624,1.3579
08.02.2011,1.3579,1.3571,1.3686,1.3628
09.02.2011,1.3628,1.3609,1.3741,1.3722
10.02.2011,1.3722,1.3575,1.3725,1.3594
11.02.2011,1.3594,1.3495,1.3618,1.3545
14.02.2011,1.3523,1.3426,1.3556,1.3486
15.02.2011,1.3486,1.3459,1.3548,1.3488
16.02.2011,1.3488,1.3461,1.3585,1.3558
17.02.2011,1.3558,1.3535,1.3616,1.3606
18.02.2011,1.3607,1.3544,1.3712,1.3683
21.02.2011,1.3688,1.3645,1.3713,1.3673
22.02.2011,1.3673,1.3523,1.3701,1.3654
23.02.2011,1.3654,1.3651,1.3784,1.3747
24.02.2011,1.3748,1.3702,1.3818,1.3798
25.02.2011,1.3798,1.3722,1.3835,1.375
28.02.2011,1.3748,1.3709,1.3852,1.3806
01.03.2011,1.3806,1.3762,1.3851,1.3774
02.03.2011,1.3775,1.3741,1.3887,1.3862
03.03.2011,1.3862,1.3831,1.3972,1.3959
04.03.2011,1.3959,1.3939,1.4004,1.3982
07.03.2011,1.3991,1.3953,1.4033,1.3965
08.03.2011,1.3966,1.386,1.3986,1.39
09.03.2011,1.39,1.3853,1.3939,1.3903
10.03.2011,1.3904,1.3773,1.3922,1.3798
11.03.2011,1.3799,1.375,1.3901,1.39
14.03.2011,1.395,1.3903,1.4001,1.3991
15.03.2011,1.3991,1.3854,1.4011,1.397
